raman_shift;e00;e10;e_unknown
2791.870842;153.360629;23012.37147;15513.46204
2796.480465;186.7737335;24299.29781;16046.70315
2800.83156;209.1995542;26113.32188;16659.12689
2805.180289;258.6382647;28473.44354;17625.73319
2809.782249;303.0900384;31453.66267;18899.52199
2814.126114;366.5550487;35171.97912;20559.49322
2818.467619;446.0334689;39563.39277;22611.64682
2822.806765;452.5254724;45177.90346;25162.98271
2827.398588;534.0312324;51417.51106;28142.50082
2831.732886;603.5509223;58418.21542;31424.20107
2836.064832;696.0847151;65797.01639;35046.08339
2840.394428;766.6327839;73377.91381;38603.14769
2844.976146;859.1953019;81794.90755;42239.39389
2849.30091;936.7724421;91490.99743;46039.82191
2853.623328;1015.364377;104045.1833;50728.43165
2857.943405;1129.97128;121166.465;56780.22304
2862.515052;1180.593324;145605.8424;65589.19599
2866.830312;1330.230682;180141.3153;78986.3504
2871.143235;1481.883526;223267.8836;97971.68618
2875.453824;1572.55203;269052.5472;121977.2033
2880.015433;1687.236365;308669.3057;147486.9015
2884.321221;1840.936706;332304.1592;168636.7809
2888.62468;1983.653225;337043.1074;180315.8413
2892.925811;2128.386095;325644.1502;182485.0827
2897.224618;2280.135489;305683.2874;177641.5048
2901.773763;2484.901579;284873.5189;169880.1078
2906.067788;2656.684538;268708.8445;161889.8914
2910.359494;2832.48454;262921.2641;155773.8556
2914.648883;3053.301757;275817.7775;155443.0003
2918.935955;3264.136362;313796.3846;165900.3254
2923.472687;3467.988527;375492.0851;191597.8308
2927.754998;3726.858427;445635.879;230519.5164
2932.034999;3982.746232;496648.766;271991.3822
2936.312692;4257.652117;504013.7461;299192.428
2940.588079;4511.576254;464102.819;299508.6538
2945.112448;4822.518816;391660.9847;272852.0594
2949.383093;5134.479976;314547.2429;231279.6449
2953.651437;5502.459906;253671.5935;189737.41
2957.917483;5866.458779;217382.0364;157792.3548
2962.181232;6195.476769;206176.5713;139026.479
2966.442686;6623.514048;215032.1982;133389.7827
2970.952315;7043.570788;235282.9168;138801.2658
2975.20905;7535.647163;253549.7271;150300.9281
2979.463496;7977.743346;258090.6288;160420.7695
2983.715654;8492.859509;242122.6218;162784.79
2987.965527;9041.995825;208955.706;154162.9896
2992.213116;9595.152468;168552.8812;135544.368
2996.458423;10164.32961;131099.1472;112726.9252
3000.950969;10781.52742;101891.5038;90348.66119
3005.191584;11367.74608;81096.95103;72221.57579
3009.429923;12049.98575;66801.4886;58990.66893
3013.665987;12733.24662;56858.11637;49747.94053
3017.899779;13521.52884;49500.8342;43539.3905
3022.1313;14296.8326;43981.64193;39209.01875
3026.360552;15144.15807;39499.53939;36027.82519
3030.587537;15979.50542;35852.52644;33757.80973
3035.060699;16867.87481;32788.60289;32038.97227
3039.283022;17782.26642;30060.76859;30458.31271
3043.503083;18803.68041;27996.02337;29435.83095
3047.720885;19876.11694;26112.36705;28677.52688
3051.936429;20920.57617;24336.79945;28032.4004
3056.149716;22105.05826;22963.3204;27508.45138
3060.36075;23348.56337;21647.92971;27185.67972
3064.569531;24615.09164;20465.62719;27037.0853
3068.776061;25899.64324;19287.41265;26973.66798
3072.980342;27217.21829;18113.28591;26778.42765
3077.182377;28546.81696;16993.24677;26771.36418
3081.629142;30034.43937;15947.29503;26727.47742
3085.826556;31508.08566;15097.43048;26813.76725
3090.021728;33065.75598;14290.65294;26961.23352
3094.21466;34776.45044;13572.96219;27281.8761
3098.405354;36409.16918;12961.35803;27489.69483
3102.593812;38177.91232;12415.84025;27846.68956
3106.780036;39948.67997;11972.40864;28395.86015
3110.964027;41847.47227;11579.06299;28974.20643
