Wellenlange;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125
2603.184993;680.8494374;678.0599794;627.3854742;613.7803266;673.1136091;583.33447;632.022304;670.1604955;669.6472316;619.3407087;718.3206263;637.4557564;591.5860015;604.9836535;644.1195091;653.1305817;595.8453324;618.5376516;667.7677909;564.8135749;597.4916762;658.1714103;697.8294696;635.4840754;593.8431036;638.5288391;639.3982965;685.575072;655.8711219;620.1690189;623.1158892;724.3684094;652.1755455;642.5268628;680.9106487;694.0754815;609.5070911;622.3898185;703.9129523;651.9212537;675.1955486;686.0116161;677.5128645;691.3652603;678.1199289;655.7575655;741.8639987;729.5883774;730.6908336;714.2699649;679.2939917;708.9134283;707.681399;728.5822004;710.9951702;749.6633141;817.8476096;761.7680192;801.2469877;778.5101395;793.8292792;746.7904064;727.6879398;777.3120444;774.4276169;819.3280563;793.1644677;793.5102648;758.9160263;875.4347032;749.2856707;819.0998086;815.5450196;839.6419989;713.7710968;720.1399983;778.5914935;728.1797319;790.617817;704.4123174;746.4830313;806.6651583;795.6592644;725.3384097;695.346588;750.1846357;816.7335992;698.5794566;782.4154543;761.1911523;712.2077398;786.7790643;842.8993355;814.434846;813.3535573;819.4619078;715.0143395;762.1550459;861.2809489;770.5055568;801.0349285;787.3644297;806.6965843;785.6140641;825.0828943;758.7257997;788.5634319;876.2631443;820.6571808;790.7849929;870.6157849;781.9980238;879.2835227;790.0279289;762.0261132;802.5665119;774.9013677;743.2962309;751.8927166;724.600905;805.1907617;727.6023902;785.8690568;749.5257096;752.7917635;843.4028981
2607.641836;520.7155896;609.0643981;661.0875381;603.4705068;619.6466298;581.122019;651.5998897;570.6869319;590.7869314;567.8791349;571.7094814;589.9237117;601.0092288;585.1325817;629.5943394;651.4327748;623.5404281;654.6996618;628.9070388;528.8737399;589.2885035;664.8117745;542.0390203;671.5057455;666.1471676;634.9310221;642.3141011;637.1313245;653.0593744;643.9983274;587.7148073;548.7407851;606.8491394;678.9215083;621.7781749;604.5693889;584.3116266;626.7902342;672.1066769;655.339016;646.1055979;620.289959;742.2356304;675.442526;651.1299541;628.3905565;653.2334608;785.21058;698.881737;746.611373;784.8855601;687.0226142;753.3767231;642.800281;685.3420496;697.7566535;718.395762;684.3161242;734.9897604;655.7494878;740.2426291;784.827329;679.8139227;822.7332318;705.3510828;716.8477756;789.1145821;729.9448384;702.8731318;745.15293;654.2380755;788.0223857;724.2485886;788.4565059;740.0219492;661.9879845;723.0122604;732.5696187;692.809183;716.853656;717.9669726;776.2765924;766.3808484;713.5277469;767.0460588;754.8211798;731.0516188;690.9225008;662.5267776;741.1160493;697.0579247;743.6826283;789.4620468;756.1082532;752.4479374;846.9205078;822.0973022;753.7057;907.128233;747.8016618;702.9943548;823.4138984;703.343344;764.7214689;721.5794855;791.8680176;758.0228028;786.6718719;714.055436;776.9958523;791.3339384;797.1840323;689.2685046;790.9404491;718.1513912;777.3120903;711.2483374;663.5575074;794.4674369;722.9621811;759.0253362;785.9439618;771.6464123;687.4560706;699.6160296;756.3779831
2612.096226;621.6660336;596.1519156;573.8673248;598.2399696;562.2540698;561.9877198;610.251152;519.2850188;617.0058929;581.4862461;600.1609456;618.4582827;573.4971569;574.3352207;603.1278115;572.7915633;498.2855327;611.9102923;594.0943776;650.9810858;603.1224058;692.4823449;614.2763884;540.5494388;621.4758308;630.3579857;582.2543268;679.709625;633.2643422;582.8405222;622.31954;624.1272859;598.5250714;626.3101577;648.6453196;652.0567732;657.0992136;654.1796455;727.2833095;745.7476237;557.9950764;645.5473046;693.9302293;657.4901372;634.1145511;642.9857131;667.5596414;679.7851172;625.0376681;702.8962321;790.3949044;641.0670806;651.0116045;558.9458423;713.6157604;673.7699789;725.8559223;677.7664112;709.6441826;710.8877351;616.5610703;704.7641646;753.8395912;804.060747;662.1700813;663.2517065;700.9678008;682.2783923;733.7311714;678.7693924;685.088934;750.8750403;669.884791;704.1902012;749.2021417;646.7561545;729.3529801;692.8873833;688.9212318;773.2182587;730.3798222;768.8023643;796.0754263;712.6857673;715.7149108;799.4286283;651.3359879;715.2325664;675.6027962;728.9995433;690.9414157;698.6523593;802.0909125;793.848309;767.6025484;747.4451634;792.241048;704.3188695;752.0525624;763.1643455;704.0118081;685.5353446;764.0573811;727.8947388;775.1378848;761.0725938;720.5463552;689.1427754;847.5148818;702.2671025;710.1072837;729.4297378;765.3118039;717.9006643;706.3313217;692.1169256;665.6572122;688.8691192;725.0925671;653.3756574;680.9071854;702.3378396;686.4699017;739.4326737;754.4833325;745.3967715
2616.809969;491.6967277;583.318478;625.7207489;515.0846433;507.9318137;466.927515;572.9720234;511.9506784;563.3001002;539.1579715;602.6708982;589.0553757;608.0457459;564.5874476;553.7158686;456.2028919;520.0765367;610.1654487;575.3257248;545.1315602;542.9892315;565.1789133;475.537399;568.6109346;528.8249165;509.8055671;621.214811;557.3058059;602.4818334;564.6913821;539.9258466;563.5237272;521.1991004;568.6884987;545.5078313;587.5333362;594.8654862;573.5537569;647.4384529;589.1428018;562.8596498;645.7793118;574.5922913;634.5036959;599.0693452;567.5386054;594.8380786;702.3074487;646.1542292;674.1199671;675.8172522;544.0422181;666.5814579;604.0142651;503.8116722;660.6986111;601.2233436;627.1140454;622.2055373;607.9200608;630.7798469;611.5961096;610.7601538;667.2897995;671.8798103;624.5349357;688.7193823;675.5061795;636.4854132;656.2793268;689.8335156;672.6530616;633.4489765;689.8382928;692.3069978;648.4397633;698.6088925;647.1283635;685.9492538;640.5014339;624.7169581;690.2376689;660.7385357;623.8080018;650.3486612;726.0025149;744.5822138;664.5051815;642.6390181;670.8370978;554.8539912;692.683917;667.7815877;706.6506763;729.8130378;702.0315692;697.4412556;619.9902209;741.0496426;703.5893422;694.0829532;650.7245005;656.834468;605.1296315;727.7538453;706.3352918;687.1298725;674.6716154;688.0312491;664.5944963;698.9314921;605.7309143;670.4091719;635.904276;619.5616601;656.9768091;596.1238187;606.2267978;664.7638428;672.8370992;602.8320287;694.7797961;640.3352387;633.4512492;627.3893901;648.4549809
2621.259316;493.8036209;499.5600223;537.6437166;559.0004475;572.6757377;484.9373387;513.7584273;500.6798246;499.6655282;506.8902316;562.2352094;494.7108878;432.6509472;489.8851309;495.354445;539.6626972;477.9093234;522.4610277;530.5969888;529.3211007;460.88482;518.8972616;601.8178684;541.6860043;546.1902391;567.2695943;576.1913828;572.9156894;539.7076471;522.5466777;506.5294773;518.9259152;522.8669767;548.0522101;582.361449;602.9947702;580.6060686;573.9082636;561.567699;564.5202644;557.6949759;589.9816296;495.2174365;606.4787948;551.9899522;582.0447936;606.0643005;605.773024;590.2270136;657.2779923;631.1478192;615.943408;568.0816881;571.0009218;528.9251441;633.5378611;532.4932681;648.3541818;602.6690967;723.8416341;628.8941935;619.3183494;599.570808;633.4155869;592.4754578;697.6925403;586.3645747;639.6234426;604.1311141;726.6779593;581.4670797;648.3517277;651.9364853;697.3959779;587.3318297;705.0340563;681.7752264;616.2878869;671.8885292;584.6984785;568.9737474;647.5776898;688.365702;647.8899706;609.9428165;680.538362;709.7857942;564.7358638;646.6309415;632.6241656;583.7914199;656.7729512;633.5297154;636.511007;593.0750418;654.6754088;637.6935917;573.71541;700.1151679;662.0723749;692.2034439;723.977088;605.6703654;699.4218938;588.4231089;637.6518636;544.7691274;657.2541417;621.6002566;668.9737763;604.8022242;600.0833251;649.5563483;659.9469753;647.8381517;638.8875216;536.6439735;655.6262643;584.4769883;528.3422618;597.7955749;616.265593;656.238127;678.5075162;632.3299087;639.5483176
2625.967723;416.982655;478.872477;453.6321246;436.983294;450.4817103;497.013118;487.6062784;515.468364;517.0981435;465.678939;417.8497408;534.4207073;492.3087032;572.2241307;495.0394665;391.1669085;469.7797684;518.7929167;474.9040695;484.5456371;484.8050026;447.633163;520.1136054;517.7704108;558.567605;511.7458875;554.1798617;485.5350894;473.9375729;499.4021705;513.1261744;425.3296475;549.5244428;533.3969619;513.2019033;444.4367584;542.3165762;485.2388519;477.6666304;550.8757169;526.4967038;519.1498976;520.8012763;558.4110167;480.871979;534.4998296;560.2338264;592.1772823;486.2516048;502.3657117;559.381811;592.7660234;594.5076903;595.9011759;543.9515277;484.2830299;632.660929;650.4819661;586.0301239;572.6476148;580.8993355;570.9260605;630.266742;676.4332971;605.9522018;704.7195879;580.8986155;541.6254144;566.6635219;618.9605061;573.9848752;627.9663062;632.3426476;622.8584435;586.271939;564.5342692;563.8472004;572.3612713;574.7343279;506.8046798;599.1455478;591.8176001;559.9524409;581.927185;564.4928735;593.0316807;609.9422158;599.9201209;511.5740549;611.3561893;644.7494617;600.915101;624.330929;648.4249419;646.3841855;628.3723551;554.993713;685.4900835;636.2448213;695.609156;675.3689241;625.2888195;539.5608245;527.7672635;622.1414064;651.0180507;576.4598822;603.8860945;658.2176122;655.4006752;579.7151303;636.4827242;551.7490628;617.0244438;552.1565322;626.8448342;620.2134845;608.0632307;576.2277184;596.8868908;673.7935241;561.7909821;524.1742607;604.5971847;619.3005854;566.6724785
2630.412036;392.2297643;372.2517629;387.6818616;443.0290863;416.3455917;453.1507729;423.5114839;427.3121957;363.5939049;354.5199985;402.510345;429.180715;459.0149499;469.6002998;482.7668518;420.7114474;466.68374;493.1569952;320.242859;378.8010911;467.7456037;453.3823831;378.42041;405.859909;405.9528123;444.2302584;376.1760587;463.1598113;479.1673928;430.2536148;427.7116724;432.7307142;526.1672331;459.718416;463.0249163;466.8549755;461.9926158;439.5411997;490.7308208;471.204856;465.2604741;384.2797465;470.3394145;509.2959357;518.7110242;560.8992567;456.3421662;483.5156533;472.2235775;467.3785199;512.5144236;520.5054281;468.8548508;512.7103823;517.8861664;519.9294092;501.7215515;465.4925344;466.2838731;544.333152;485.790489;509.4144101;543.8431351;590.338108;505.3052115;622.6111357;491.3167338;476.5073177;518.0778749;553.1221726;449.3821424;561.4920555;593.6627844;546.2208663;482.1226189;577.9356272;516.8200227;490.3438254;504.4819096;610.8153164;502.2277085;544.9525632;514.4942578;551.915146;525.99432;488.4779723;541.0469545;504.0534519;496.4638371;571.0286022;505.723868;562.1059959;560.180852;617.3881126;519.7360854;569.1180715;480.3372662;500.3098795;528.4342757;575.1953881;472.5750271;614.6553963;557.5015873;494.1614679;603.9044597;550.429585;553.1978912;550.563204;576.8790149;520.8709154;586.6658516;534.9248567;493.9830357;545.1323531;552.5125278;445.8445086;467.8281515;545.5333993;529.011739;565.4667236;556.8215673;546.3517055;499.139324;470.7159541;573.2971078;527.8231507
2634.853907;432.5408769;447.6937938;406.7888095;402.1337213;394.263235;357.3462157;426.4699434;384.207211;353.1487638;428.409308;445.2128689;327.9867838;458.7656158;429.0094824;427.532512;388.2922294;451.6170993;370.5491352;334.609242;400.083377;375.7024406;468.1406805;398.7340744;472.950246;484.3416509;524.7185113;467.1757767;434.785653;417.3928813;489.0967571;432.2816981;439.1248989;415.7910741;415.0122262;451.8262023;427.245089;481.6297859;454.8109775;533.755837;397.5033703;429.98192;419.3667991;445.8274473;409.1291172;486.5026793;341.23861;511.3848219;506.7835582;428.138499;447.3118036;508.5408449;468.1569772;524.1185472;545.423887;418.7243958;493.4722833;496.6703515;548.3810127;575.4255893;481.8933863;499.5628613;545.7785569;502.2951573;532.1251879;511.5296468;468.3622304;513.6141498;538.2643676;516.3694033;486.1581551;559.654113;586.9242242;490.8922067;536.4784135;514.8791536;544.2333468;525.6888933;532.2308494;543.1265258;500.7256594;527.2155699;505.977734;516.9866498;537.8493464;576.4426353;552.8727289;494.0954769;509.1313472;526.2957593;540.6368284;458.7103806;523.3412562;547.0750988;494.3961406;565.1263481;529.9082118;614.7198899;476.1704256;549.6791941;521.8267632;513.8173761;515.0725105;545.4883877;568.6002263;560.7079818;591.8821888;504.9788999;575.2811912;480.5801536;564.3802098;519.6500205;591.4054583;471.2539786;507.2663657;521.9018565;571.8822968;495.4837648;547.0324633;505.8247474;543.0774887;534.8753856;487.9434974;517.1289932;580.8595152;541.3151544;542.9960131
2639.554405;293.911915;322.1944778;404.9488444;298.2930893;341.2304874;262.595352;281.4775506;380.1492946;294.7586658;230.3427601;380.9531529;379.8347801;293.5566225;401.4475155;370.3323507;340.9051638;399.5757009;338.9652011;351.9990987;399.3884036;344.6713233;322.9038074;373.0503851;339.0371627;376.7299047;350.2064436;349.1748127;327.4084058;467.609806;365.9273375;382.8319722;317.5079785;379.3916843;334.2740397;358.6014686;392.6027598;426.2236782;393.0438493;429.7372386;393.7669415;394.6566672;425.4066726;354.2609638;422.9061192;457.2425279;374.5134162;389.3572882;466.9764109;425.9919297;474.1609426;428.4562548;465.7160177;382.2941501;404.0370281;451.4615436;454.9069287;444.5025373;507.1425206;491.450511;443.3234501;388.2116523;487.0136519;429.6179702;594.7896961;465.6206603;471.9679092;500.7860764;426.8917719;472.5333292;458.0636414;473.7960119;469.2580526;448.026217;505.6262442;371.53682;479.4226362;442.4490042;456.0176359;454.6634201;530.5309707;444.1044648;443.888259;518.4251062;441.7252707;516.8332907;472.2114355;427.0832421;415.1492894;428.0652852;436.1762835;469.7047336;478.616494;539.0092755;531.4446388;513.5505726;516.7384213;516.1372156;458.0673423;527.9752319;504.4989649;452.0915871;471.5358449;469.5169511;428.0792508;421.547676;476.3715758;483.7986456;444.035769;477.3167085;449.9242633;502.6632608;474.9202565;459.557596;489.4221359;482.3202278;482.9539443;509.176108;433.5561077;455.662433;497.7149064;454.9506514;493.5620833;424.1389374;436.0235513;494.3503948;472.1867364
2643.991254;253.3387943;302.7497164;296.1578364;344.5030745;233.2431899;328.8940821;319.5301924;309.1343259;353.4195517;247.316241;344.7270312;337.7205654;317.3838848;281.91023;361.1622656;330.5461541;327.555392;316.4010517;318.408304;367.7120738;312.6480564;326.6675089;287.3651227;327.1163932;299.1133501;332.689845;333.168957;402.0238542;382.8139282;353.7410888;311.3582086;357.8757239;386.964776;370.4994973;410.3464161;281.9236422;363.7698772;395.2354723;353.6705769;395.9912451;362.2803355;393.394978;395.6355466;398.6224935;348.9261464;349.7191971;408.2550525;507.0896176;439.7794235;414.9213101;421.2558259;426.1778899;338.3770221;320.5451359;393.0929311;381.2286146;437.2133097;435.7721689;396.3538678;416.6184685;419.7320547;434.114838;469.8067281;480.3267838;403.5733969;392.4232025;419.8277188;408.3847303;496.5648673;500.8338119;400.8030557;415.4887725;468.0601103;484.6595094;423.0908875;439.4986953;459.0955398;465.6994698;472.0878282;449.2265047;405.8897182;464.6792771;482.8051087;471.5383951;416.1617492;373.4895689;400.0057014;446.1027537;477.7678709;439.6423751;480.7026544;477.9273135;408.9789798;389.5292121;468.0043493;483.6043375;449.5848655;413.9962428;476.3180361;466.2076688;452.3932687;424.0410747;458.5829952;499.5942449;436.4192379;421.8934513;423.652858;374.8226418;462.0843529;368.4987724;514.7011884;437.46497;481.8895852;541.5953102;405.7633436;473.0551881;348.9009573;393.1000093;408.5204775;406.3746885;428.0430296;499.2031819;421.1648177;374.2037375;443.3984909;354.3909835
